ID|FirstName|LastName|City|State|ZipCode
84|Dwight|Arthur|Springfield|North Dakota|56401
85|Abraham|Hoover|Des Moines|Maryland|58731
86|Gerald|Hayes|Hartford|Louisiana|84385
87|Herbert|Quincy|Lincoln|Oregon|56802
88|Bill|Truman|Madison|Illinois|85944
89|Millard|Harrison|Cheyenne|Nevada|84680
90|Abraham|Hayes|Santa Fe|Texas|80460
91|Dwight|Johnson|Oklahoma City|Hawaii|47179
92|Zachary|Washington|Carson City|Oregon|52221
93|Thomas|Taft|Albany|New Hampshire|86020
94|Ulysses|Eisenhower|Des Moines|New Hampshire|52822
95|Warren|Harrison|Hartford|Ohio|71577
96|Benjamin|Jefferson|Montpelier|Hawaii|65323
97|George|Arthur|Lansing|Iowa|86242
98|Grover|Roosevelt|Jefferson City|North Dakota|81479
99|Calvin|Nixon|Madison|Tennessee|69504
100|Chester|Hoover|Concord|Tennessee|80708
101|Harry|Ford|Richmond|Florida|85498
102|Lyndon|Taylor|Carson City|Oregon|80901
103|Abraham|Fillmore|Oklahoma City|Ohio|75768
104|Millard|Adams|Oklahoma City|New Hampshire|83976
105|Zachary|Harding|Boise|Iowa|67432
106|Richard|Pierce|Tallahassee|South Carolina|69458
107|Dwight|Lincoln|Des Moines|Illinois|62905
108|Ronald|Harding|Phoenix|Ohio|49576
109|William|Johnson|Salem|Utah|66190
110|Rutherford|Grant|Columbus|Montana|63479
111|Gerald|Wilson|Concord|Ohio|73995
112|Millard|Fillmore|Salem|Kentucky|73110
113|Benjamin|Roosevelt|Jefferson City|Mississippi|80516
114|Benjamin|Carter|Des Moines|Minnesota|86762
115|Chester|Johnson|Phoenix|Missouri|68536
116|James|Pierce|Salt Lake City|Kentucky|69414
117|Benjamin|Jefferson|Boston|Utah|59081
118|Lyndon|Reagan|Albany|Vermont|65390
119|Thomas|Eisenhower|Phoenix|Rhode Island|73067
120|Calvin|Tyler|Trenton|Montana|72108
121|Jimmy|Pierce|Topeka|Alaska|70098
122|Gerald|Carter|Salt Lake City|Massachusetts|54444
123|Warren|Carter|Richmond|Louisiana|67894
124|Harry|Carter|Boston|Mississippi|88154
125|Thomas|Harrison|Dover|Michigan|64849
126|Lyndon|Ford|Atlanta|Michigan|63239
127|Jimmy|Jefferson|Augusta|Iowa|81101
128|Ulysses|Madison|Montgomery|West Virginia|85208
129|Millard|Arthur|Tallahassee|Pennsylvania|75586
130|Zachary|Pierce|Raleigh|Vermont|62828
131|Ulysses|Harrison|Indianapolis|Louisiana|67307
132|Warren|Roosevelt|Tallahassee|Kentucky|83391
133|Rutherford|McKinley|Richmond|Wisconsin|64115
134|Theodore|Quincy|Bismarck|Pennsylvania|88066
135|Thomas|Taylor|Boston|Vermont|59262
136|Richard|Jackson|Baton Rouge|South Dakota|81085
137|Zachary|Eisenhower|Pierre|Florida|70912
138|Dwight|Arthur|Pierre|Vermont|61211
139|Woodrow|Polk|Helena|New Mexico|57490
140|Lyndon|Eisenhower|Carson City|Rhode Island|62346
141|Dwight|McKinley|Nashville|North Dakota|89017
142|Abraham|Monroe|Pierre|New Mexico|76423
143|Warren|Taylor|Pierre|Arkansas|80539
144|John|Taft|Providence|Alaska|72273
145|Chester|Eisenhower|Boise|Indiana|83500
146|George|Quincy|Harrisburg|Vermont|84740
147|Herbert|Washington|Harrisburg|Mississippi|86081
148|Andrew|Cleveland|Denver|New York|53826
149|Ronald|Arthur|Lansing|New York|58047
150|George|Jefferson|Providence|New Mexico|67690
151|Chester|Harrison|Springfield|Hawaii|81428
152|Gerald|Tyler|Jefferson City|Texas|46491
153|Dwight|Kennedy|Providence|Iowa|58022
154|William|Adams|Salt Lake City|California|56658
155|Rutherford|Roosevelt|Salem|Virginia|76398
156|Martin|Reagan|Montgomery|Arizona|67590
157|Thomas|Adams|Little Rock|Mississippi|54610
158|George|Van Buren|Dover|Illinois|77170
159|Herbert|Carter|Indianapolis|Connecticut|54615
160|Millard|Washington|Carson City|Utah|60610
161|William|Jefferson|Jackson|Connecticut|84940
162|Rutherford|Reagan|Pierre|Utah|62111
163|James|McKinley|Harrisburg|Pennsylvania|48123
164|Theodore|Truman|Salem|Alaska|51546
165|Benjamin|Carter|Montpelier|Florida|69604
166|Millard|Taft|Hartford|Virginia|84884
167|Gerald|Harrison|Bismarck|Minnesota|46557
168|Ulysses|Garfield|Salt Lake City|West Virginia|71423
169|Martin|Jackson|Frankfort|Tennessee|85599
170|Richard|Lincoln|Olympia|Iowa|65725
171|George|Quincy|Columbia|Alabama|87306
172|Gerald|Jefferson|Pierre|Colorado|64075
173|Theodore|Wilson|Topeka|Tennessee|86354
174|Andrew|Wilson|Cheyenne|Vermont|63295
175|Dwight|Coolidge|Cheyenne|Nevada|82423
176|William|Reagan|Juneau|Georgia|55836
177|Millard|Van Buren|Oklahoma City|Colorado|79573
178|Harry|Johnson|Denver|West Virginia|79106
179|Ronald|Monroe|Olympia|Tennessee|83713
180|Martin|Washington|Little Rock|Indiana|54225
181|Bill|Van Buren|Madison|Minnesota|77932
182|William|Roosevelt|Sacramento|West Virginia|66118
183|Ulysses|Garfield|Columbia|Connecticut|63932
184|Calvin|Ford|Hartford|Arkansas|60602
185|James|Truman|Indianapolis|New Jersey|60076
186|Chester|Roosevelt|Atlanta|Oklahoma|80292
187|Rutherford|Kennedy|Montgomery|Arkansas|56145
188|Franklin|Wilson|Concord|Idaho|60777
189|Bill|McKinley|Nashville|Washington|69578
190|Warren|Johnson|Austin|Hawaii|59541
191|Theodore|Quincy|Topeka|Rhode Island|48417
192|Jimmy|Cleveland|Boston|Minnesota|52587
193|Harry|Truman|Olympia|North Dakota|53439
194|Woodrow|Jackson|Madison|Maine|53646
195|Franklin|Quincy|Columbia|Nevada|50310
196|Ronald|Nixon|Indianapolis|Missouri|69000
197|Franklin|Arthur|Raleigh|Ohio|78106
198|Bill|Reagan|Jefferson City|Missouri|67753
199|Woodrow|Ford|Boise|Nevada|53110
200|Franklin|Nixon|Juneau|Wyoming|67216
201|Ronald|Taylor|Salem|Arkansas|70085
202|Theodore|Washington|Columbia|Idaho|45902
203|Millard|Roosevelt|Springfield|Arkansas|56053
204|Jimmy|Kennedy|Springfield|Connecticut|50235
205|George|Harrison|Denver|Kentucky|59042
206|Martin|Taylor|Juneau|Tennessee|72221
207|Dwight|Van Buren|Providence|Nevada|78829
208|Lyndon|Polk|Tallahassee|Oregon|64345
209|Lyndon|Wilson|Lansing|Florida|61261
210|Martin|Reagan|Salt Lake City|Arizona|57143
211|Woodrow|Madison|Des Moines|Hawaii|49931
212|Millard|Roosevelt|Indianapolis|Arizona|60810
213|Gerald|Quincy|Baton Rouge|West Virginia|47181
214|Warren|Quincy|Saint Paul|Delaware|82685
215|James|Quincy|Jefferson City|Wyoming|46780
216|Martin|Arthur|Richmond|Illinois|55182
217|Benjamin|Roosevelt|Boise|Wyoming|50721
218|Dwight|Harding|Dover|New Hampshire|80216
219|John|Ford|Concord|Hawaii|60253
220|Richard|Jackson|Raleigh|Connecticut|67870
221|Andrew|Ford|Hartford|Ohio|71575
222|Richard|Clinton|Cheyenne|South Carolina|61206
223|Thomas|Madison|Olympia|Alaska|56805
224|Calvin|Clinton|Columbus|Rhode Island|63402
225|Chester|Adams|Augusta|Washington|49867
226|Rutherford|Roosevelt|Columbia|North Carolina|85362
227|George|Harrison|Bismarck|North Dakota|74708
228|Warren|Nixon|Austin|South Dakota|60248
229|Woodrow|Washington|Boston|Kentucky|52659
230|George|Harding|Austin|South Dakota|51244
231|Chester|Jefferson|Augusta|Vermont|67085
232|William|Harrison|Pierre|Tennessee|66307
233|Thomas|Jackson|Columbia|Alaska|79470
234|Gerald|Harding|Trenton|Ohio|65663
235|Franklin|Nixon|Salem|North Dakota|61488
236|Richard|Reagan|Cheyenne|Illinois|46028
237|Bill|Tyler|Richmond|Washington|76086
238|Gerald|Reagan|Springfield|Virginia|83185
239|Lyndon|Clinton|Providence|Mississippi|85289
240|Calvin|Roosevelt|Honolulu|Georgia|72869
241|Gerald|Ford|Santa Fe|Indiana|60406
242|Chester|Roosevelt|Topeka|Ohio|50046
243|Franklin|Monroe|Santa Fe|Rhode Island|77976
244|Warren|Kennedy|Providence|Kansas|77118
245|Rutherford|Hayes|Columbus|Florida|85578
246|Chester|Jackson|Bismarck|Kansas|54356
247|Martin|Garfield|Indianapolis|Indiana|81123
248|Ulysses|Adams|Annapolis|Idaho|66723
249|Theodore|Reagan|Topeka|Arkansas|50436
250|Ulysses|Garfield|Springfield|Arizona|89495
251|Jimmy|Harrison|Jefferson City|Florida|56256
252|Richard|Truman|Madison|Kentucky|56417
253|Chester|Hayes|Harrisburg|Maine|71027
254|Franklin|Garfield|Oklahoma City|Nebraska|56482
255|William|Eisenhower|Raleigh|Kansas|72583
256|Woodrow|Nixon|Indianapolis|Florida|80882
257|Warren|McKinley|Augusta|South Carolina|83731
258|Chester|Monroe|Richmond|Iowa|57236
259|Thomas|Fillmore|Denver|Nevada|53073
260|Benjamin|Adams|Juneau|Louisiana|61581
261|Grover|Jefferson|Lincoln|Montana|79988
262|Herbert|Taft|Atlanta|Montana|51306
263|Calvin|Pierce|Madison|Ohio|57644
264|James|Clinton|Salt Lake City|Iowa|66291
265|Dwight|Johnson|Richmond|Illinois|68188
266|Warren|Jefferson|Honolulu|Nebraska|82133
267|Herbert|Reagan|Honolulu|Alaska|47780
268|Ronald|Arthur|Charleston|Wyoming|83412
269|Woodrow|Carter|Baton Rouge|New Hampshire|51379
270|Ulysses|Buchanan|Helena|Oklahoma|48959
271|Ulysses|Buchanan|Juneau|Nebraska|45779
272|William|Harrison|Charleston|Indiana|62855
273|Lyndon|Monroe|Jefferson City|Arizona|74675
274|Ronald|Jackson|Santa Fe|Maine|70779
275|Ronald|Kennedy|Tallahassee|Nevada|53914
276|Franklin|Harrison|Denver|Nevada|66809
277|Grover|Harrison|Baton Rouge|Connecticut|52851
278|Woodrow|Carter|Austin|Mississippi|63622
279|Theodore|Carter|Juneau|Nebraska|58953
280|Woodrow|Monroe|Providence|New Mexico|49208
281|Ulysses|Johnson|Raleigh|Illinois|87972
282|George|Taft|Jackson|Tennessee|83032
283|Grover|Reagan|Raleigh|Idaho|45706
284|Richard|Harrison|Providence|Kentucky|53824
285|James|Adams|Harrisburg|Maine|63101
286|Richard|Cleveland|Jefferson City|Louisiana|55543
287|Benjamin|Van Buren|Santa Fe|Michigan|70617
288|Andrew|Ford|Albany|Hawaii|45829
289|Benjamin|Wilson|Juneau|Wisconsin|59273
290|Benjamin|Harrison|Lincoln|Colorado|82431
291|Bill|Hayes|Olympia|Alaska|47390
292|Woodrow|Coolidge|Lincoln|Louisiana|63422
293|Franklin|Truman|Columbus|Maine|78509
294|Grover|Roosevelt|Atlanta|Michigan|79469
295|Chester|Fillmore|Cheyenne|Pennsylvania|82183
296|Herbert|Monroe|Boston|South Carolina|89636
297|Martin|Polk|Honolulu|Rhode Island|55657
298|Andrew|McKinley|Cheyenne|Virginia|56654
299|Dwight|Van Buren|Tallahassee|Missouri|84527
300|Richard|Coolidge|Tallahassee|Maryland|57188
301|Woodrow|Madison|Cheyenne|Indiana|59141
302|Theodore|Fillmore|Montpelier|Kentucky|78957
303|Bill|Lincoln|Olympia|Mississippi|63640
304|Lyndon|Hayes|Hartford|Montana|60987
305|Jimmy|Fillmore|Indianapolis|Rhode Island|49057
306|Gerald|Quincy|Augusta|Connecticut|62926
307|Bill|Carter|Raleigh|Minnesota|59339
308|Lyndon|Madison|Carson City|Michigan|87365
309|Millard|Johnson|Jackson|Alaska|75739
310|John|Johnson|Des Moines|Indiana|52351
311|Warren|Adams|Annapolis|North Carolina|67713
312|Gerald|Jefferson|Montpelier|North Dakota|58645
313|Jimmy|Jackson|Honolulu|Colorado|85640
314|James|Kennedy|Baton Rouge|Connecticut|72096
315|Lyndon|Pierce|Columbia|Georgia|62842
316|Abraham|Adams|Atlanta|Rhode Island|74908
317|Theodore|Van Buren|Columbia|North Dakota|62793
318|James|Monroe|Albany|Florida|51892
319|Chester|Roosevelt|Columbus|Florida|46354
320|William|Buchanan|Lansing|South Carolina|50296
321|Dwight|Clinton|Honolulu|South Dakota|48302
322|Woodrow|Adams|Cheyenne|Connecticut|67837
323|George|Nixon|Tallahassee|Arizona|64391
324|Thomas|Pierce|Little Rock|Missouri|83554
325|Grover|Jefferson|Columbia|Ohio|89030
326|Woodrow|Hayes|Boise|Missouri|60088
327|Ronald|McKinley|Augusta|Minnesota|52747
328|Benjamin|Pierce|Santa Fe|New Hampshire|87871
329|Millard|Johnson|Springfield|Georgia|83027
330|Gerald|Harrison|Phoenix|Washington|76800
331|Bill|Kennedy|Dover|Nebraska|85075
332|John|Grant|Atlanta|Louisiana|75828
333|Jimmy|Carter|Montpelier|Oklahoma|88651
334|Harry|Johnson|Nashville|Delaware|62378
335|James|Harding|Harrisburg|Missouri|71789
336|Grover|Roosevelt|Concord|New York|57121
337|John|Adams|Dover|North Dakota|88228
338|Calvin|Pierce|Montgomery|New Mexico|80420
339|Herbert|Eisenhower|Helena|Michigan|81443
340|Dwight|Hayes|Boston|Michigan|82954
341|George|Nixon|Lansing|Wisconsin|74603
342|Richard|Garfield|Oklahoma City|Massachusetts|74357
343|Lyndon|Fillmore|Austin|Connecticut|52266
344|William|Clinton|Annapolis|Louisiana|52807
345|Woodrow|Johnson|Columbia|Georgia|63436
346|William|Garfield|Columbus|Kentucky|77907
347|Richard|Garfield|Sacramento|North Dakota|52327
348|James|Adams|Lansing|Minnesota|60435
349|Rutherford|Polk|Frankfort|Vermont|63055
350|Harry|Garfield|Austin|Arkansas|68787
351|Gerald|Wilson|Little Rock|Kansas|65342
352|Bill|Washington|Nashville|Maryland|63120
353|Abraham|Hayes|Little Rock|Minnesota|46306
354|Franklin|Truman|Bismarck|New Hampshire|53222
355|Ulysses|Hayes|Bismarck|Maine|56969
356|George|Adams|Bismarck|Hawaii|75428
357|Zachary|Arthur|Concord|New Mexico|48730
358|Chester|Harrison|Columbus|Michigan|66417
359|Martin|Roosevelt|Lincoln|North Dakota|85141
360|James|Carter|Nashville|Indiana|76651
361|Calvin|Hoover|Lansing|Montana|49001
362|Woodrow|Monroe|Sacramento|Vermont|49608
363|Benjamin|Truman|Harrisburg|California|63546
364|Millard|Eisenhower|Saint Paul|Montana|75688
365|Thomas|Roosevelt|Concord|Nebraska|73843
366|Rutherford|Kennedy|Trenton|New York|49959
367|Bill|Reagan|Baton Rouge|Maryland|85634
368|Gerald|Fillmore|Boston|Delaware|65137
369|Ulysses|Truman|Trenton|South Carolina|64237
370|Harry|Johnson|Cheyenne|Alaska|82476
371|Richard|Grant|Austin|New Hampshire|85900
372|George|Adams|Denver|Florida|84091
373|John|Polk|Topeka|Nevada|48631
374|Woodrow|Van Buren|Phoenix|Michigan|75211
375|Benjamin|Hayes|Saint Paul|Utah|59557
376|Abraham|Polk|Little Rock|Michigan|53791
377|Grover|Kennedy|Raleigh|Nebraska|46322
378|Dwight|Carter|Raleigh|Delaware|72242
379|Zachary|Johnson|Trenton|New Hampshire|65807
380|Chester|Johnson|Raleigh|Washington|46549
381|Richard|Washington|Montgomery|Maryland|47894
382|Benjamin|Taft|Raleigh|Oklahoma|84733
383|James|Eisenhower|Little Rock|Kentucky|59877
384|Chester|Johnson|Helena|Oregon|62240
385|Martin|Coolidge|Montpelier|Tennessee|47390
386|John|Johnson|Santa Fe|Louisiana|77621
387|Warren|Reagan|Harrisburg|Maine|68523
388|Richard|Tyler|Bismarck|California|67355
389|Theodore|Kennedy|Columbus|Florida|59874
390|William|Tyler|Denver|Kansas|83931
391|George|Buchanan|Oklahoma City|Pennsylvania|67448
392|Theodore|Adams|Boston|Kansas|61931
393|Calvin|Monroe|Lansing|Connecticut|84365
394|Herbert|Arthur|Lansing|Montana|65461
395|Andrew|Washington|Helena|Alabama|51057
396|Ulysses|Clinton|Tallahassee|Maryland|61892
397|Richard|Adams|Santa Fe|South Dakota|65814
398|Gerald|Adams|Sacramento|Tennessee|75016
399|Martin|Roosevelt|Sacramento|South Dakota|71186
400|Benjamin|Adams|Atlanta|South Carolina|62861
401|Thomas|Cleveland|Sacramento|New York|70754
402|Benjamin|Taylor|Olympia|Rhode Island|47355
403|Bill|Harrison|Albany|Florida|56760
404|John|Coolidge|Charleston|South Dakota|66471
405|Ronald|Harrison|Indianapolis|Tennessee|64197
406|Jimmy|Harrison|Charleston|New York|78845
407|George|Van Buren|Indianapolis|New York|54505
408|Andrew|Arthur|Des Moines|Michigan|57695
409|George|Grant|Jefferson City|North Dakota|70447
410|Ulysses|Eisenhower|Little Rock|Colorado|60969
411|Millard|Lincoln|Springfield|Colorado|73679
412|Lyndon|Eisenhower|Harrisburg|Montana|81321
413|Ulysses|Taft|Pierre|Missouri|60439
414|Benjamin|Roosevelt|Phoenix|Virginia|57913
415|Bill|Arthur|Montpelier|New Jersey|76421
416|William|Madison|Phoenix|Nebraska|46076
417|Harry|Washington|Pierre|Kentucky|86237
418|Harry|Jackson|Providence|Arizona|56727
419|Calvin|Quincy|Jackson|Maryland|80452
420|Dwight|Clinton|Olympia|Texas|48823
421|Theodore|Carter|Tallahassee|Louisiana|53837
422|Lyndon|Fillmore|Santa Fe|Kansas|48511
423|Lyndon|Jefferson|Phoenix|Oregon|75103
424|Ulysses|Hayes|Jackson|Virginia|65093
425|James|Garfield|Bismarck|Kentucky|57981
426|Millard|Grant|Raleigh|Missouri|69339
427|George|Carter|Carson City|Mississippi|66898
428|Lyndon|Garfield|Providence|Nevada|52378
429|Benjamin|Hoover|Des Moines|South Dakota|64523
430|Harry|Polk|Albany|Iowa|73436
431|George|Polk|Olympia|Missouri|88026
432|Jimmy|Eisenhower|Bismarck|Wyoming|74904
433|Ulysses|Grant|Lansing|California|52736
434|Martin|Tyler|Atlanta|Kentucky|53147
435|Jimmy|Adams|Richmond|South Carolina|47339
436|Gerald|Madison|Olympia|Nevada|84665
437|Rutherford|Kennedy|Baton Rouge|Oregon|78312
438|Abraham|McKinley|Juneau|Missouri|77309
439|William|Pierce|Boise|Nebraska|54726
440|Warren|Reagan|Albany|Georgia|87231
441|Chester|Cleveland|Pierre|Georgia|68446
442|George|Washington|Springfield|Arkansas|46634
443|Martin|Harrison|Springfield|Oregon|51716
444|Warren|Madison|Providence|Nevada|64351
445|Chester|Truman|Nashville|Alaska|62127
446|Chester|Quincy|Pierre|West Virginia|49576
447|Jimmy|Grant|Salt Lake City|Nevada|50257
448|Ulysses|Coolidge|Albany|Iowa|55908
449|Woodrow|Carter|Santa Fe|Michigan|71174
450|Harry|Coolidge|Raleigh|Idaho|67068
451|Martin|Roosevelt|Little Rock|Delaware|46561
452|Ronald|Washington|Trenton|Mississippi|87697
453|Thomas|Fillmore|Phoenix|Colorado|81815
454|Grover|Adams|Olympia|Nebraska|71517
455|Millard|Nixon|Trenton|Louisiana|49360
456|Ulysses|Madison|Springfield|Mississippi|71109
457|Harry|Monroe|Providence|New Hampshire|61261
458|Woodrow|Harrison|Salt Lake City|Kentucky|70779
459|Herbert|Clinton|Madison|Georgia|56734
460|Herbert|Cleveland|Trenton|Alaska|76905
461|John|Harrison|Olympia|Michigan|81361
462|Benjamin|Coolidge|Baton Rouge|Nevada|78522
463|Woodrow|Washington|Boise|South Carolina|47473
464|William|Harrison|Carson City|South Dakota|46616
465|Herbert|Cleveland|Columbus|Mississippi|62780
466|Calvin|Grant|Frankfort|Pennsylvania|61706
467|Thomas|Truman|Annapolis|Illinois|66201
468|Warren|Adams|Honolulu|Oregon|64982
469|George|Taft|Frankfort|Hawaii|80901
470|Thomas|Reagan|Raleigh|Connecticut|63451
471|Gerald|Adams|Tallahassee|Delaware|56363
472|Bill|Jefferson|Montgomery|Mississippi|79418
473|Jimmy|Carter|Cheyenne|Alaska|73556
474|Lyndon|Reagan|Indianapolis|Indiana|46034
475|Franklin|Jefferson|Salt Lake City|North Dakota|78683
476|Jimmy|Clinton|Springfield|North Carolina|81101
477|Millard|Polk|Phoenix|Maryland|66729
478|Ulysses|Buchanan|Harrisburg|Indiana|50577
479|Bill|Madison|Olympia|Michigan|74892
480|Zachary|Roosevelt|Jefferson City|California|77307
481|Calvin|Roosevelt|Raleigh|South Carolina|68006
482|Benjamin|Buchanan|Boise|California|69472
483|Chester|Monroe|Sacramento|Rhode Island|70379
484|James|Harrison|Topeka|Tennessee|62628
485|Bill|Polk|Augusta|California|88797
486|Harry|Jackson|Austin|Idaho|60193
487|Abraham|Garfield|Baton Rouge|Vermont|58441
488|John|Eisenhower|Olympia|Arkansas|75649
489|Thomas|Ford|Helena|Hawaii|68077
490|Warren|Adams|Springfield|Delaware|56996
491|George|Eisenhower|Baton Rouge|New Hampshire|61685
492|Martin|Taft|Des Moines|Michigan|55131
493|James|Wilson|Bismarck|New Mexico|80786
494|James|Roosevelt|Augusta|Michigan|75023
495|William|Quincy|Jackson|Maryland|53451
496|Jimmy|Wilson|Richmond|Minnesota|80850
497|Herbert|Roosevelt|Concord|California|88691
498|John|Clinton|Indianapolis|North Carolina|65399
499|Chester|Adams|Dover|Wisconsin|62080
500|Ulysses|Roosevelt|Springfield|Hawaii|49114
501|Ronald|Quincy|Raleigh|Louisiana|72176
502|John|Clinton|Oklahoma City|West Virginia|74596
503|Ulysses|Johnson|Charleston|Maine|58867
504|Thomas|Monroe|Helena|Maine|48135
505|Jimmy|Tyler|Springfield|Colorado|82922
506|John|Roosevelt|Richmond|Tennessee|74791
507|Zachary|Hoover|Santa Fe|Oklahoma|49153
508|Woodrow|Jefferson|Denver|California|88572
509|Millard|Tyler|Honolulu|South Dakota|65504
510|Dwight|Fillmore|Boston|Kentucky|82772
511|Ulysses|Madison|Albany|North Carolina|66782
512|Rutherford|Pierce|Atlanta|New Hampshire|84509
513|John|Kennedy|Little Rock|Alaska|67116
514|John|Nixon|Honolulu|North Carolina|83304
515|Woodrow|Washington|Austin|Illinois|65762
516|Harry|Grant|Atlanta|Delaware|66093
517|Abraham|Harrison|Denver|Utah|50346
518|Rutherford|Carter|Salt Lake City|South Carolina|52688
519|Andrew|Garfield|Hartford|Hawaii|85945
520|Dwight|Taft|Denver|Kansas|55240
521|Dwight|Kennedy|Baton Rouge|Arizona|89410
522|Rutherford|Clinton|Concord|Michigan|48929
523|Gerald|Washington|Albany|Arizona|46582
524|Franklin|Garfield|Richmond|West Virginia|81476
525|Thomas|Fillmore|Providence|Iowa|64888
526|Andrew|Johnson|Olympia|Missouri|84034
527|Dwight|Grant|Salt Lake City|Nebraska|50716
528|Ronald|Arthur|Atlanta|Utah|70041
529|Jimmy|Harrison|Oklahoma City|Texas|67955
530|Franklin|Washington|Atlanta|South Carolina|68942
531|Theodore|Fillmore|Salt Lake City|Indiana|51732
532|Benjamin|Kennedy|Lansing|Virginia|52962
533|Warren|Clinton|Austin|Idaho|50992
534|Ronald|Jefferson|Tallahassee|Ohio|71307
535|Franklin|Johnson|Frankfort|Georgia|56793
536|Grover|Harrison|Albany|Pennsylvania|81761
537|Warren|Roosevelt|Springfield|Oregon|63825
538|Dwight|Jefferson|Des Moines|Kentucky|54983
539|Franklin|Reagan|Lincoln|Wisconsin|56977
540|William|Hayes|Carson City|North Carolina|51745
541|Bill|Coolidge|Concord|Kentucky|51283
542|Ronald|Hoover|Santa Fe|Texas|47545
543|Harry|Nixon|Indianapolis|Utah|56714
544|Chester|Truman|Salt Lake City|Idaho|51783
545|Calvin|Fillmore|Des Moines|North Carolina|69402
546|Zachary|Grant|Boston|Louisiana|63852
547|William|Nixon|Jackson|Missouri|88131
548|Harry|Wilson|Trenton|Louisiana|70842
549|Bill|Harrison|Tallahassee|Montana|76403
